,Nikkei 225 Index,Hang Seng Index,FTSE 100 Index,Deutscher Aktienindex (DAX) Index,BSE 500 Index,Australian All Ordinary Index,Amsterdam AEX - Index,S&P 500 - Index
Data Date - Index Monthly,Index Price - Close Monthly,Index Price - Close Monthly2,Index Price - Close Monthly3,Index Price - Close Monthly4,Index Price - Close Monthly5,Index Price - Close Monthly6,Index Price - Close Monthly7,Index Price - Close Monthly8
31-1-2007,17383.42,20106.42,6203.09,6789.11,5408.71,5757.6918,499.81,1438.24
28-2-2007,17604.12,19651.51,6171.47,6715.44,4938.08,5816.4754,490.21,1406.82
31-3-2007,17287.65,19800.93,6308.03,6917.03,4955.39,5978.7803,510.5,1420.86
30-4-2007,17400.41,20318.98,6449.21,7408.87,5311.03,6158.2656,530.81,1482.37
31-5-2007,17875.75,20634.47,6621.45,7883.04,5646.9,6341.7866,540.39,1530.62
30-6-2007,18138.36,21772.73,6607.9,8007.32,5781.37,6310.5743,548.21,1503.35
31-7-2007,17248.89,23184.94,6360.11,7584.14,6063.2,6187.5435,533.99,1455.27
31-8-2007,16569.09,23984.14,6303.3,7638.17,5950.11,6248.3472,522.73,1473.99
30-9-2007,16785.69,27142.47,6466.79,7861.51,6773.54,6580.9364,540.98,1526.75
31-10-2007,16737.63,31352.58,6721.57,8019.22,7785.22,6779.0914,547.85,1549.38
30-11-2007,15680.67,28643.61,6432.45,7870.52,7865.98,6593.5699,507.58,1481.14
31-12-2007,15307.78,27812.65,6456.91,8067.32,8592.43,6421.0451,515.77,1468.36
31-1-2008,13592.47,23455.74,5879.78,6851.75,7160.03,5697.0272,441.33,1378.55
29-2-2008,13603.02,24331.67,5884.28,6748.13,7108.12,5674.6847,446.53,1330.63
31-3-2008,12525.54,22849.2,5702.11,6534.97,6157.27,5409.6953,442.43,1322.7
30-4-2008,13849.99,25755.35,6087.3,6948.82,6885.03,5656.9556,475.56,1385.59
31-5-2008,14338.54,24533.12,6053.5,7096.79,6474.97,5773.9366,485.52,1400.38
30-6-2008,13481.38,22102.01,5625.9,6418.32,5215.37,5332.8846,425.93,1280
31-7-2008,13376.81,22731.1,5411.9,6479.56,5525.77,5052.575,399.95,1267.38
31-8-2008,13072.87,21261.89,5636.61,6422.3,5631.51,5215.4662,412.84,1282.83
30-9-2008,11259.86,18016.21,4902.45,5831.02,4897.59,4631.2807,331.45,1166.36
31-10-2008,8576.98,13968.67,4377.34,4987.97,3570.07,3982.7059,267.69,968.75
30-11-2008,8512.27,13888.24,4288.01,4669.44,3295.6,3672.6676,252.55,896.24
31-12-2008,8859.56,14387.48,4434.17,4810.2,3596.85,3659.2915,245.94,903.25
31-1-2009,7994.05,13278.21,4149.64,4338.35,3426.76,3478.1469,248.6,825.88
28-2-2009,7568.42,12811.57,3830.09,3843.74,3232.11,3296.8966,219.81,735.09
31-3-2009,8109.53,13576.02,3926.14,4084.76,3523.53,3532.3023,216.98,797.87
30-4-2009,8828.26,15520.99,4243.71,4769.45,4140.42,3744.668,240.76,872.81
31-5-2009,9522.5,18171,4417.94,4940.82,5520.25,3813.2829,259.45,919.14
30-6-2009,9958.44,18378.73,4249.21,4808.64,5492.03,3947.7893,254.71,919.32
31-7-2009,10356.83,20573.33,4608.36,5332.14,5940.38,4249.5449,283.1726,987.48
31-8-2009,10492.53,19724.19,4908.9,5464.61,6044.61,4484.1333,296.27,1020.62
30-9-2009,10133.23,20955.25,5133.9,5675.16,6552.75,4739.258,311.348,1057.08
31-10-2009,10034.74,21752.87,5044.55,5414.96,6142.43,4646.8853,302.3627,1036.19
30-11-2009,9345.55,21821.5,5190.68,5625.95,6584.98,4715.4808,305.9029,1095.63
31-12-2009,10546.44,21872.5,5412.88,5957.43,6842.25,4882.7143,335.3342,1115.1
31-1-2010,10198.04,20121.99,5188.52,5608.79,6509.9,4596.88,327.8964,1073.87
28-2-2010,10126.03,20608.7,5354.52,5598.46,6518.38,4651.11,317.7375,1104.49
31-3-2010,11089.94,21239.35,5679.64,6153.55,6919.55,4893.06,344.2217,1169.43
30-4-2010,11057.4,21108.59,5553.29,6135.7,7042.68,4833.9,345.9086,1186.69
31-5-2010,9768.7,19765.19,5188.43,5964.33,6782.37,4453.59,320.7047,1089.41
30-6-2010,9382.64,20128.99,4916.87,5965.52,7092.2,4324.77,316.8063,1030.71
