symbol,name,price,exchange,exchangeShortName,type
ROBO,Robo Global Robotics and Automation Index ETF,68.22,New York Stock Exchange,NYSE,etf
TDS,"Telephone and Data Systems, Inc.",19.2,New York Stock Exchange,NYSE,stock
AAC,Ares Acquisition Corporation,9.75,New York Stock Exchange,NYSE,stock
PPR,Voya Prime Rate Trust,4.67,New York Stock Exchange,NYSE,fund
PFFD,Global X U.S. Preferred ETF,25.88,New York Stock Exchange,NYSE,etf
BNY,BlackRock New York Municipal Income Trust,15.56,New York Stock Exchange,NYSE,fund
JPT,Nuveen Preferred and Income 2022 Term Fund,25.0,New York Stock Exchange,NYSE,fund
TBB,AT&amp;T Inc. 5.35% GLB NTS 66,26.2,New York Stock Exchange,NYSE,stock
TDA,Telephone &amp; Data Systems Inc.,25.2,New York Stock Exchange,NYSE,stock
PYT,PPLUS Trust Series GSC-2 GSC 2 CT FL RT,24.38,New York Stock Exchange,NYSE,stock
AEB,Aegon N.V. PERP CAP FLTG RT,25.01,New York Stock Exchange,NYSE,stock
DIVO,Amplify ETF Trust - Amplify CWP Enhanced Dividend Income ETF,35.8,New York Stock Exchange,NYSE,etf
DTEC,ALPS Disruptive Technologies ETF,50.71,New York Stock Exchange,NYSE,etf
ECCY,Eagle Point Credit Company Inc. 6.75% NT DE 2027,25.25,New York Stock Exchange,NYSE,fund
ELC,"Entergy Louisiana, LLC COLLATERAL TR MT",25.27,New York Stock Exchange,NYSE,stock
GJH,"STRATS Trust for United States Cellular Corp. Securities, Series 2004-6 STRATS 6.375",10.85,New York Stock Exchange,NYSE,stock
GJO,Strats Trust Wal Mart Stores Inc. STRT CTF 05-4,23.7,New York Stock Exchange,NYSE,stock
GJP,"STRATS Trust For Dominion Resources Inc. Securities, Series 2005-6",24.56,New York Stock Exchange,NYSE,stock
GJR,Strats Trust For Procter &amp; Gambel Security CTF 2006-1,23.5,New York Stock Exchange,NYSE,stock
GJS,"STRATS Trust for Goldman Sachs Group Securities, Series 2006-2",21.03,New York Stock Exchange,NYSE,stock
GJT,"Strats(SM) Trust For Allstate Corp Securities, Series 2006-3 06-3 ASSET BKD",20.65,New York Stock Exchange,NYSE,stock
INDF,Exchange Traded Concepts Trust - Nifty India Financials ETF,37.9,New York Stock Exchange,NYSE,etf
JBK,"Corporate Backed Trust Certificates, Goldman Sachs Capital I Securities-Backed Series 2004-6 04-6 A1 3.50",33.45,New York Stock Exchange,NYSE,stock
KTH,Corts Trust For Peco Energy Capital Trust III,33.6,New York Stock Exchange,NYSE,stock
KTN,Credit-Enhanced Corts Trust Aon,33.28,New York Stock Exchange,NYSE,stock
PYS,PPlus Trust Series RRD-1 RRD-1 CTF CL A,23.35,New York Stock Exchange,NYSE,stock
TDI,"Telephone and Data Systems, Inc. SR NT 2045",25.36,New York Stock Exchange,NYSE,stock
RSF,RiverNorth Specialty Finance Corporation,19.34,New York Stock Exchange,NYSE,fund
SFTW,Osprey Technology Acquisition Corp.,11.41,New York Stock Exchange,NYSE,stock
HCXY,"Hercules Capital, Inc.",26.97,New York Stock Exchange,NYSE,stock
NTEST,Tick Pilot Test Sym-Control,25.04,New York Stock Exchange,NYSE,stock
PRS,"Prudential Financial, Inc. 5.62",27.12,New York Stock Exchange,NYSE,stock
SREA,SEMPRA ENERGY,27.62,New York Stock Exchange,NYSE,stock
SAF,Saratoga Investment Corp 6.25% ,25.01,New York Stock Exchange,NYSE,stock
AFGC,"American Financial Group, Inc.",27.14,New York Stock Exchange,NYSE,stock
AEFC,Aegon Funding Company LLC,26.77,New York Stock Exchange,NYSE,fund
AQNB,Algonquin Power & Utilities Cor,27.8,New York Stock Exchange,NYSE,stock
AQNA,Algonquin Power & Utilities Cor,27.98,New York Stock Exchange,NYSE,stock
ECCX,Eagle Point Credit Company Inc. 6.6875% NT 28,25.4,New York Stock Exchange,NYSE,fund
TBC,AT&T Inc. 5.625% Global Notes d,27.06,New York Stock Exchange,NYSE,stock
RCA,Ready Capital Corporation 7.00%,26.64,New York Stock Exchange,NYSE,stock
GSLD,"Global Ship Lease, Inc. 8.00% S",26.11,New York Stock Exchange,NYSE,stock
SJIJ,"South Jersey Industries, Inc",26.72,New York Stock Exchange,NYSE,stock
DFNS,LGL Systems Acquisition Corp.,12.85,New York Stock Exchange,NYSE,stock
RESP,WisdomTree U.S. ESG Fund,48.25,New York Stock Exchange,NYSE,etf
GFLU,GFL Environmental Inc.,87.05,New York Stock Exchange,NYSE,stock
RFM,"RiverNorth Flexible Municipal Income Fund, Inc.",23.97,New York Stock Exchange,NYSE,fund
CBO,CBO (Listing Market - NYSE - Ne,25.01,New York Stock Exchange,NYSE,stock
IVES,Wedbush ETFMG Global Cloud Technology ETF,54.5,New York Stock Exchange,NYSE,etf
BKMC,BNY Mellon US Mid Cap Core Equity ETF,91.48,New York Stock Exchange,NYSE,etf
BKSE,BNY Mellon US Small Cap Core Equity ETF,95.89,New York Stock Exchange,NYSE,etf
KOKU,Xtrackers MSCI Kokusai Equity ETF,83.1,New York Stock Exchange,NYSE,etf
BKLC,BNY Mellon US Large Cap Core Equity ETF,84.48,New York Stock Exchange,NYSE,etf
BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,90.65,New York Stock Exchange,NYSE,etf
BKSB,BNY Mellon Short Duration Corporate Bond ETF,51.29,New York Stock Exchange,NYSE,etf
BKAG,BNY Mellon Core Bond ETF,49.61,New York Stock Exchange,NYSE,etf
BKEM,BNY Mellon Emerging Markets Equity ETF,70.18,New York Stock Exchange,NYSE,etf
DEED,First Trust TCW Securitized Plus ETF,25.92,New York Stock Exchange,NYSE,etf
GLCN,VanEck Vectors China Growth Leaders ETF,39.67,New York Stock Exchange,NYSE,etf
GLIN,VanEck Vectors India Growth Leaders ETF,43.57,New York Stock Exchange,NYSE,etf
ARB,AltShares Merger Arbitrage ETF,25.83,New York Stock Exchange,NYSE,etf
TAAG,Trend Aggregation Growth ETF,26.15,New York Stock Exchange,NYSE,etf
TADS,The Active Dividend Stock ETF,28.6,New York Stock Exchange,NYSE,etf
JEPI,J.P. Morgan Exchange-Traded Fund Trust - JPMorgan Equity Premium Income ETF,61.17,New York Stock Exchange,NYSE,etf
JIG,J.P. Morgan Exchange-Traded Fund Trust - JPMorgan International Growth ETF,79.45,New York Stock Exchange,NYSE,etf
MTCN,ArcelorMittal 5.50% Mandatorily,71.89,New York Stock Exchange,NYSE,stock
SGOV,iShares Trust - iShares 0-3 Month Treasury Bond ETF,100.03,New York Stock Exchange,NYSE,etf
