symbol,name,price,irr,npv,eps_roc,eps_diluted,MOP,QA,MCap,PE,error_message,ROE
KMI,"Kinder Morgan, Inc.",16.53,26.501180953386143,14664836481820.555,32.02,0.05567492119254113,0.13333333333333333,0.5626724477729602,37465576657.920006,21.093211267605636,,
GE,General Electric Company,103.8,,-110.29216033162484,0.41944444444444473,-0.06872813531643521,0.020284103040731485,1.4344565294661265,113937114614.5801,-46.66960262187628,,
BAC,Bank of America Corporation,42.14,0.19109436324222817,71.59920511276883,0.32563873573037205,0.10110779371814076,0.9717269839797834,19.691682625122922,354603895439.36,13.150425773755657,,
HPQ,HP Inc.,27.89,0.6415212711710381,348.1034792923448,0.6208333333333332,-1.2759890325107717,0.06580271544342238,0.5600686498855835,32143781015.04,8.11631876227898,,
CX,"CEMEX, S.A.B. de C.V.",7.32,-0.24296790066010998,1.245428825132316,-0.11151519228083856,-0.05612637896291601,0.10354664610639938,0.6098654708520179,10781627765.76,-23.011404901803203,,
F,Ford Motor Company,13.78,-0.028849586395513382,7.5256174704929855,0.06673135945116448,0.10306637534845174,-0.03466935128673001,1.08996625236645,54071478256.64,16.084725146198828,,
SNAP,Snap Inc.,83.11,,-16162.895611156317,2.0565636424061147,-0.328777898891449,-0.34391728163674995,5.0020080110650404,110190562400.0,-171.11238850935064,,
WFC,Wells Fargo & Company,47.92,-0.007510434248416797,30.099488898624077,0.03417904364608426,0.08437913232376203,0.0,0.4785843827861489,196779166433.28,12.502424694794106,,
AIG,"American International Group, Inc.",54.81,,-1663.956829363326,3.19281828087537,0.06420766069072802,0.0,,46873620743.04,11.234499840406176,,
T,AT&T Inc.,27.13,0.41812941032570206,128.27814462731195,0.4332408679186351,-0.01112369612941652,0.14721122496506753,0.819824080204294,193708193054.72,-99.88076014381097,,
C,Citigroup Inc.,71.18,,-409.02342552598367,-2.7966298247562005,0.10658969409896402,0.14949258391881343,0.0,144266913338.88,6.858211675412295,,
